scenario,problem_type,Δ Diversification (competitive_dynamics-base),Δ Fast Follower (competitive_dynamics-base),Δ Maintain (competitive_dynamics-base),Δ Niche Focus (competitive_dynamics-base),Δ Open Innovation (competitive_dynamics-base),Δ Technology Leadership (competitive_dynamics-base)
1_founder_period,generic,0.0,-0.046875,0.0,0.0,0.00520833333333337,0.04166666666666663
1_founder_period,specific,0.0,-0.001041666666666663,0.0,0.0,-0.014583333333333337,0.015625
2_roadster_launch,generic,0.0,0.020833333333333332,0.0,0.0,-0.125,0.10416666666666663
2_roadster_launch,specific,0.0,0.0,0.0,0.0,0.0,0.0
3_model_s_launch,generic,0.0,0.0,0.0,0.0,0.0,0.0
3_model_s_launch,specific,0.0,0.0,0.0,0.0,0.0,0.0
4_model_x_launch,generic,0.0,0.0,-0.08333333333333337,-0.04583333333333333,0.0,0.12916666666666665
4_model_x_launch,specific,0.0,0.0,0.0,0.0,0.0,0.0
5_model_3_mass_market,generic,0.0,0.0,0.0,0.0,-0.06666666666666665,0.06666666666666665
5_model_3_mass_market,specific,0.0,0.0,0.0,0.0,0.0,0.0
6_energy_infra,generic,0.08333333333333326,0.0,0.0,0.0,0.0,-0.08333333333333337
6_energy_infra,specific,0.0,0.0,0.0,0.0,0.0,0.0
